"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,451 ","suppressed","suppressed","10,825 ","8,301 ","10,492 ","7,906 ","8,764 ","979.70 ","suppressed","suppressed","2035.92 ","1632.95 ","1168.01 ","1861.71 ","1111.83 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,629 ","suppressed","suppressed","suppressed","9,432 ","6,298 ","suppressed","6,552 ","566.31 ","suppressed","suppressed","suppressed","652.21 ","616.87 ","suppressed","588.50 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","25.3% ","suppressed","suppressed","37.1% ","27.9% ","22.3% ","29.3% ","24.4% ","2.06% ","suppressed","suppressed","6.35% ","4.41% ","2.42% ","5.64% ","2.13% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","22.5% ","suppressed","suppressed","28.1% ","23.1% ","21.8% ","20.7% ","23.2% ","2.63% ","suppressed","suppressed","5.24% ","2.34% ","4.38% ","3.36% ","3.42% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","26.9% ","suppressed","suppressed","41.7% ","29.1% ","22.8% ","42.5% ","24.9% ","2.60% ","suppressed","suppressed","8.81% ","5.78% ","2.15% ","10.76% ","2.33% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","23.6% ","suppressed","suppressed","49.0% ","29.5% ","suppressed","suppressed","25.8% ","5.62% ","suppressed","suppressed","1.61% ","1.86% ","suppressed","suppressed","5.85% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","29.7% ","suppressed","suppressed","36.9% ","28.2% ","38.8% ","28.5% ","30.4% ","3.36% ","suppressed","suppressed","6.48% ","5.53% ","5.30% ","6.26% ","3.90% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","21.6% ","suppressed","suppressed","suppressed","26.5% ","20.5% ","suppressed","21.1% ","2.14% ","suppressed","suppressed","suppressed","1.08% ","2.33% ","suppressed","2.16% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","26.5% ","27.9% ","31.2% ","27.6% ","27.2% ","25.3% ","29.6% ","25.8% ","1.56% ","6.97% ","7.43% ","3.59% ","3.42% ","2.17% ","3.80% ","1.70% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","5.7%*","71.0% ","suppressed","2.6%*","0.7%*","0% ","26.4%*","0.6%*","1.95%*","12.50% ","suppressed","2.09%*","0.50%*","0% ","8.59%*","0.38%*"
