"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,292 ","suppressed","suppressed","8,552 ","9,751 ","6,340 ","6,172 ","8,062 ","870.70 ","suppressed","suppressed","1672.88 ","2815.55 ","655.08 ","1393.19 ","1113.08 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,447 ","suppressed","suppressed","suppressed","8,033*","5,622 ","suppressed","6,599 ","869.45 ","suppressed","suppressed","suppressed","2792.61*","496.79 ","suppressed","910.35 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","25.2% ","suppressed","suppressed","30.7% ","29.6% ","21.7% ","23.2% ","25.6% ","2.40% ","suppressed","suppressed","5.87% ","7.83% ","1.60% ","4.84% ","2.70% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","22.0% ","suppressed","suppressed","suppressed","suppressed","23.1% ","suppressed","20.7% ","3.47% ","suppressed","suppressed","suppressed","suppressed","3.60% ","suppressed","3.40% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","26.6% ","suppressed","suppressed","30.7% ","38.3%*","21.6% ","21.1% ","27.4% ","3.06% ","suppressed","suppressed","6.87% ","12.21%*","1.94% ","4.74% ","3.43% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","23.6% ","suppressed","suppressed","suppressed","suppressed","18.5% ","suppressed","23.9% ","5.18% ","suppressed","suppressed","suppressed","suppressed","1.49% ","suppressed","5.10% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","30.7% ","suppressed","suppressed","34.1% ","44.6% ","26.0% ","25.8% ","34.1% ","3.57% ","suppressed","suppressed","7.41% ","10.71% ","2.34% ","5.78% ","4.59% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","23.0% ","suppressed","suppressed","suppressed","26.6%*","20.8% ","suppressed","23.5% ","2.96% ","suppressed","suppressed","suppressed","8.69%*","1.81% ","suppressed","3.10% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","21.5% ","21.3%*","20.0% ","20.8% ","20.1% ","22.7% ","21.1% ","21.6% ","1.52% ","8.49%*","5.62% ","3.18% ","2.26% ","2.63% ","3.09% ","1.72% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","6.8%*","suppressed","suppressed","15.4%*","0.9%*","2.4%*","28.9%*","2.3%*","2.13%*","suppressed","suppressed","8.11%*","0.67%*","1.54%*","9.48%*","1.13%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","67.7% ","0% ","suppressed","38.1% ","78.2% ","80.6% ","22.0%*","77.0% ","4.94% ","0% ","suppressed","10.42% ","7.59% ","7.65% ","8.86%*","5.53% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","17.2% ","21.6%*","20.5%*","18.2% ","16.5% ","14.8%*","19.3% ","16.0% ","2.65% ","8.63%*","6.19%*","3.57% ","2.39% ","5.77%*","3.04% ","3.66% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","24.4% ","suppressed","suppressed","27.0% ","21.4% ","26.0% ","suppressed","24.1% ","1.43% ","suppressed","suppressed","6.52% ","2.69% ","1.89% ","suppressed","1.42% "
