"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.8% ","suppressed","suppressed","27.4% ","23.2% ","28.3% ","24.8% ","25.9% ","1.71% ","suppressed","suppressed","4.16% ","3.34% ","1.82% ","6.59% ","1.69% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","43.1%*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","14.47%*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","27.3% ","suppressed","27.0%*","27.0% ","20.4% ","39.4% ","29.2% ","26.7% ","3.87% ","suppressed","9.06%*","3.89% ","3.70% ","11.57% ","5.54% ","4.78% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","27.4% ","suppressed","suppressed","suppressed","27.2% ","28.3% ","suppressed","28.0% ","1.88% ","suppressed","suppressed","suppressed","4.91% ","1.76% ","suppressed","1.81% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","21.6% ","12.7%*","23.7% ","20.1% ","23.1% ","21.7% ","17.9% ","22.4% ","1.02% ","5.30%*","4.75% ","3.19% ","1.67% ","1.40% ","2.87% ","1.05% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","12.0%*","suppressed","40.7%*","suppressed","23.7%*","1.1%*","29.1%*","8.9%*","3.64%*","suppressed","13.65%*","suppressed","9.82%*","0.82%*","9.30%*","3.89%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","49.6% ","0% ","20.4%*","0% ","39.0% ","75.4% ","11.2%*","56.5% ","4.94% ","0% ","15.86%*","0% ","10.01% ","7.07% ","9.30%*","5.64% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","19.8% ","12.7%*","22.6% ","20.1% ","21.0% ","19.1% ","17.1% ","21.0% ","1.67% ","5.30%*","4.66% ","3.19% ","2.14% ","4.37% ","2.78% ","2.00% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","23.9% ","suppressed","suppressed","suppressed","27.4% ","22.7% ","suppressed","23.7% ","1.08% ","suppressed","suppressed","suppressed","2.59% ","1.03% ","suppressed","1.00% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","19,518 ","15,936 ","19,737 ","20,823 ","22,287 ","18,024 ","19,173 ","19,577 ","510.87 ","1038.59 ","1795.81 ","1105.00 ","936.12 ","672.06 ","1186.53 ","562.67 "
