"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","22,333 ","suppressed","suppressed","suppressed","24,262 ","22,160 ","suppressed","22,333 ","662.67 ","suppressed","suppressed","suppressed","3479.02 ","664.42 ","suppressed","662.67 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,228 ","suppressed","suppressed","8,193 ","7,617 ","5,606 ","8,694 ","6,021 ","376.44 ","suppressed","suppressed","1568.29 ","1485.69 ","423.27 ","1408.91 ","393.15 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,331 ","suppressed","suppressed","suppressed","5,918 ","5,964 ","9,750 ","6,050 ","373.15 ","suppressed","suppressed","suppressed","848.51 ","436.02 ","1705.24 ","373.23 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,973 ","suppressed","suppressed","8,230 ","8,165*","suppressed","8,694 ","7,699 ","1014.46 ","suppressed","suppressed","1591.94 ","2618.06*","suppressed","1408.91 ","1272.28 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","5,545 ","suppressed","suppressed","suppressed","7,024 ","5,399 ","suppressed","5,545 ","390.74 ","suppressed","suppressed","suppressed","1348.05 ","418.26 ","suppressed","390.74 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","28.4% ","53.1% ","suppressed","41.5% ","36.4% ","24.7% ","47.9% ","27.1% ","1.85% ","5.11% ","suppressed","8.98% ","5.46% ","2.06% ","6.79% ","1.88% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","29.0% ","59.2% ","suppressed","suppressed","30.6% ","26.4% ","49.5% ","27.5% ","1.81% ","3.51% ","suppressed","suppressed","3.36% ","2.01% ","7.61% ","1.77% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","34.7% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","35.9% ","4.77% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","5.04% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","38.1% ","53.1% ","suppressed","41.4% ","45.6% ","suppressed","47.9% ","35.1% ","4.99% ","5.11% ","suppressed","8.97% ","10.36% ","suppressed","6.79% ","5.75% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","24.8% ","suppressed","suppressed","suppressed","29.0% ","24.4% ","suppressed","24.8% ","1.90% ","suppressed","suppressed","suppressed","3.11% ","2.08% ","suppressed","1.90% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","18.4% ","suppressed","suppressed","10.4%*","17.1% ","20.9% ","10.5% ","19.6% ","1.13% ","suppressed","suppressed","3.67%*","2.93% ","1.47% ","2.10% ","1.27% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","0.6%*","0% ","0% ","suppressed","2.1%*","0% ","suppressed","0.3%*","0.37%*","0% ","0% ","suppressed","2.07%*","0% ","suppressed","0.30%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","71.9% ","0% ","0% ","1.0%*","48.0% ","89.2% ","0% ","77.9% ","5.62% ","0% ","0% ","1.05%*","11.60% ","5.64% ","0% ","5.79% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","13.9% ","suppressed","suppressed","11.1%*","14.4% ","17.0%*","11.6% ","15.1% ","1.97% ","suppressed","suppressed","3.91%*","3.82% ","5.15%*","2.25% ","2.72% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","21.0% ","suppressed","suppressed","1.5%*","21.3% ","21.5% ","0% ","21.5% ","1.23% ","suppressed","suppressed","1.60%*","4.29% ","1.31% ","0% ","1.25% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","14,841 ","suppressed","16,661 ","12,060 ","14,154 ","15,158 ","14,645 ","14,870 ","408.75 ","suppressed","1164.53 ","1168.38 ","1165.63 ","478.58 ","1248.54 ","431.59 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","14,082 ","suppressed","16,661 ","12,139 ","14,044 ","13,949 ","14,684 ","13,698 ","658.98 ","suppressed","1164.53 ","1189.06 ","1260.17 ","840.75 ","1257.42 ","720.59 "
