"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,734 ","suppressed","suppressed","5,350*","8,230 ","7,037 ","8,269 ","6,214 ","1135.25 ","suppressed","suppressed","1900.83*","1660.30 ","597.44 ","1596.37 ","1318.86 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,160 ","suppressed","suppressed","suppressed","6,327 ","6,915 ","13,539 ","6,791 ","657.29 ","suppressed","suppressed","suppressed","1179.60 ","748.83 ","2705.01 ","643.21 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","27.0% ","suppressed","suppressed","30.1% ","28.0% ","24.6% ","43.8% ","25.0% ","2.17% ","suppressed","suppressed","8.17% ","3.54% ","2.46% ","7.73% ","2.10% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","19.7%*","suppressed","suppressed","suppressed","suppressed","28.2% ","suppressed","18.9%*","6.46%*","suppressed","suppressed","suppressed","suppressed","3.82% ","suppressed","6.82%*"
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","28.1% ","suppressed","suppressed","39.1% ","30.3% ","24.2% ","48.6% ","26.0% ","2.51% ","suppressed","suppressed","6.35% ","3.07% ","2.90% ","10.58% ","2.36% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","28.5% ","suppressed","suppressed","suppressed","suppressed","25.7% ","suppressed","25.7% ","3.53% ","suppressed","suppressed","suppressed","suppressed","3.50% ","suppressed","3.01% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","29.3% ","suppressed","suppressed","25.0%*","31.0% ","28.2% ","38.5% ","26.4% ","4.51% ","suppressed","suppressed","7.77%*","7.21% ","1.41% ","9.64% ","4.66% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","26.0% ","suppressed","suppressed","suppressed","26.1% ","24.2% ","55.0% ","24.6% ","2.43% ","suppressed","suppressed","suppressed","3.82% ","2.72% ","9.83% ","2.34% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","24.4% ","suppressed","16.9%*","28.0% ","24.9% ","24.6% ","18.5% ","25.6% ","1.91% ","suppressed","6.38%*","6.68% ","3.58% ","2.46% ","3.59% ","2.17% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","7.9%*","suppressed","suppressed","31.3%*","suppressed","1.6%*","9.6%*","7.6%*","4.78%*","suppressed","suppressed","20.43%*","suppressed","1.24%*","5.98%*","5.39%*"
