"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","5,657 ","suppressed","suppressed","5,107*","5,025 ","suppressed","7,012*","4,942 ","1079.10 ","suppressed","suppressed","1570.44*","831.40 ","suppressed","2640.32*","799.73 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","4,458 ","suppressed","suppressed","suppressed","2,699*","5,012 ","suppressed","4,444 ","645.56 ","suppressed","suppressed","suppressed","998.90*","727.47 ","suppressed","662.85 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","17.3% ","suppressed","suppressed","15.9%*","14.0% ","16.4% ","28.4%*","15.6% ","2.04% ","suppressed","suppressed","4.87%*","2.81% ","2.18% ","9.55%*","1.69% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","17.2% ","suppressed","suppressed","suppressed","25.3% ","16.9% ","suppressed","20.1% ","4.17% ","suppressed","suppressed","suppressed","3.71% ","5.06% ","suppressed","4.01% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","17.5% ","suppressed","suppressed","19.7% ","11.3% ","16.6% ","41.6% ","14.4% ","2.53% ","suppressed","suppressed","5.15% ","2.94% ","2.52% ","10.14% ","1.93% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","16.5% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","17.3% ","3.37% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","3.83% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","21.3% ","suppressed","suppressed","16.0%*","18.5% ","suppressed","29.1%*","17.8% ","3.95% ","suppressed","suppressed","5.48%*","3.22% ","suppressed","10.58%*","2.73% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","14.7% ","suppressed","suppressed","suppressed","8.6%*","16.5% ","suppressed","14.5% ","2.18% ","suppressed","suppressed","suppressed","3.47%*","2.20% ","suppressed","2.20% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","24.6% ","35.7% ","14.5% ","24.0% ","27.6% ","22.8% ","25.8% ","24.4% ","1.37% ","9.01% ","4.22% ","4.82% ","2.88% ","1.56% ","4.42% ","1.40% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","16.3%*","suppressed","0% ","28.6%*","15.1%*","9.6%*","41.0%*","11.3%*","5.70%*","suppressed","0% ","18.11%*","12.78%*","6.35%*","12.87%*","6.23%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","56.5% ","0% ","suppressed","15.4%*","41.3%*","88.5% ","10.5%*","65.8% ","6.50% ","0% ","suppressed","8.85%*","16.57%*","6.07% ","5.10%*","7.31% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","25.5% ","38.4% ","suppressed","24.2% ","25.8% ","21.2% ","28.4% ","24.2% ","2.07% ","9.24% ","suppressed","5.54% ","2.43% ","4.27% ","5.11% ","1.97% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","24.0% ","suppressed","suppressed","suppressed","30.7% ","23.0% ","suppressed","24.5% ","1.91% ","suppressed","suppressed","suppressed","5.96% ","1.68% ","suppressed","1.96% "
